umur,jenis_kelamin,tinggi_cm,berat_kg,bmi,label
9,P,123.0,27.4,18.09,Gemuk
12,P,147.1,39.4,18.2,Gemuk
11,P,138.8,34.0,17.63,Normal
9,L,125.0,28.4,18.15,Gemuk
9,P,130.1,26.1,15.43,Normal
6,P,115.8,19.5,14.57,Normal
6,L,114.2,22.0,16.87,Normal
11,P,142.0,34.1,16.88,Normal
12,L,147.9,40.4,18.48,Gemuk
8,P,120.5,21.2,14.6,Normal
6,L,115.4,20.1,15.13,Normal
11,L,138.0,35.0,18.38,Gemuk
12,L,141.1,37.5,18.82,Gemuk
11,P,142.7,34.2,16.8,Normal
9,P,127.5,28.2,17.35,Normal
11,P,141.9,42.7,21.21,Gemuk
12,L,150.3,36.9,16.32,Normal
9,P,126.8,27.9,17.33,Normal
8,P,121.5,25.9,17.56,Normal
7,P,116.8,21.6,15.82,Normal
11,L,142.4,40.9,20.17,Gemuk
12,P,140.5,34.4,17.43,Normal
7,P,119.3,18.5,13.01,Kurus
10,P,135.0,32.5,17.86,Normal
7,P,119.5,22.5,15.75,Normal
9,P,129.9,28.2,16.72,Normal
8,P,123.0,26.6,17.56,Normal
12,L,144.3,37.6,18.03,Gemuk
9,L,130.0,31.0,18.34,Gemuk
8,L,125.3,24.2,15.4,Normal
6,L,115.0,17.9,13.54,Kurus
9,P,126.3,26.5,16.6,Normal
12,L,144.9,39.1,18.63,Gemuk
7,P,115.4,18.0,13.52,Kurus
9,L,127.7,26.8,16.47,Normal
6,L,116.1,18.1,13.41,Kurus
7,P,117.8,24.5,17.63,Normal
9,L,128.4,24.1,14.64,Normal
9,L,127.2,29.6,18.28,Gemuk
7,P,118.6,19.0,13.5,Kurus
9,L,125.1,30.0,19.18,Gemuk
11,L,142.2,33.3,16.45,Normal
9,L,131.5,24.7,14.26,Normal
6,L,112.3,17.7,14.08,Normal
7,L,117.2,21.4,15.58,Normal
10,P,135.0,33.0,18.12,Gemuk
7,L,116.2,23.1,17.11,Normal
9,P,124.7,24.2,15.58,Normal
9,L,124.8,28.1,18.0,Gemuk
11,P,140.4,29.9,15.18,Normal
8,P,119.3,22.0,15.5,Normal
7,L,114.5,24.3,18.53,Gemuk
10,P,132.8,27.1,15.36,Normal
6,L,112.7,22.0,17.32,Normal
11,L,143.2,38.1,18.59,Gemuk
9,P,124.5,29.5,19.01,Gemuk
11,P,140.1,34.1,17.34,Normal
7,L,117.9,25.0,17.99,Normal
9,L,130.9,28.0,16.33,Normal
7,L,118.8,18.2,12.87,Kurus
12,L,145.4,36.2,17.14,Normal
9,P,128.4,30.3,18.35,Gemuk
12,P,148.4,40.3,18.31,Gemuk
6,L,113.7,20.9,16.21,Normal
11,L,143.3,37.4,18.19,Gemuk
9,P,127.3,26.2,16.16,Normal
10,P,137.1,32.6,17.38,Normal
12,L,146.2,30.0,14.04,Normal
10,P,135.9,31.3,16.92,Normal
6,L,110.0,22.0,18.18,Gemuk
8,L,119.4,25.4,17.82,Normal
6,L,110.2,21.2,17.43,Normal
8,P,123.1,29.0,19.15,Gemuk
10,P,135.7,26.8,14.57,Normal
8,P,118.8,21.5,15.25,Normal
9,P,125.3,30.0,19.09,Gemuk
12,L,147.9,40.9,18.7,Gemuk
7,P,115.1,25.0,18.86,Gemuk
10,L,135.4,31.7,17.28,Normal
7,L,123.0,18.6,12.3,Kurus
9,P,129.7,27.4,16.26,Normal
11,P,142.2,38.9,19.24,Gemuk
6,L,111.3,17.0,13.72,Kurus
9,P,129.6,30.9,18.38,Gemuk
9,P,133.0,24.6,13.89,Kurus
9,L,127.8,29.8,18.25,Gemuk
11,L,143.5,39.7,19.29,Gemuk
6,L,115.8,17.9,13.37,Kurus
12,P,146.8,42.2,19.59,Gemuk
10,L,134.8,29.1,16.04,Normal
12,P,143.2,32.6,15.91,Normal
8,L,122.6,26.7,17.74,Normal
11,L,144.7,34.0,16.22,Normal
6,L,116.5,22.0,16.21,Normal
10,L,135.0,34.0,18.66,Gemuk
11,L,140.7,34.9,17.62,Normal
9,P,128.0,27.6,16.84,Normal
6,P,116.8,17.0,12.46,Kurus
10,L,135.9,34.5,18.7,Gemuk
6,L,117.9,20.6,14.84,Normal
7,L,120.3,25.0,17.28,Normal
6,P,114.3,22.0,16.85,Normal
7,P,123.0,22.1,14.62,Normal
8,L,121.4,26.2,17.82,Normal
8,P,121.1,21.4,14.61,Normal
6,L,112.6,22.0,17.35,Normal
10,P,133.8,27.4,15.33,Normal
11,L,144.3,36.1,17.36,Normal
8,P,122.0,23.7,15.93,Normal
11,L,138.8,29.8,15.45,Normal
11,L,141.3,29.8,14.92,Normal
12,P,146.0,44.3,20.81,Gemuk
7,P,116.3,19.5,14.45,Normal
9,P,124.9,24.9,15.95,Normal
11,L,138.5,39.4,20.54,Gemuk
11,L,140.6,31.6,16.0,Normal
7,P,117.3,18.8,13.66,Kurus
7,P,116.1,18.2,13.51,Kurus
8,L,121.3,22.2,15.08,Normal
7,P,117.8,20.0,14.38,Normal
10,P,128.8,34.2,20.62,Gemuk
10,L,131.9,38.0,21.85,Gemuk
12,P,146.2,41.0,19.18,Gemuk
8,P,123.7,27.2,17.78,Normal
11,P,141.3,36.6,18.34,Gemuk
7,P,119.2,18.7,13.15,Kurus
9,L,130.4,30.8,18.1,Gemuk
12,L,144.8,41.9,19.99,Gemuk
9,L,129.7,27.5,16.33,Normal
9,P,125.7,25.3,16.0,Normal
10,P,139.2,30.3,15.63,Normal
11,P,143.7,32.6,15.8,Normal
9,L,127.6,27.9,17.14,Normal
8,L,124.7,27.2,17.5,Normal
10,P,133.5,35.2,19.78,Gemuk
10,L,137.9,34.1,17.96,Normal
6,P,110.0,17.0,14.05,Normal
7,P,116.4,24.3,17.94,Normal
10,L,133.2,29.7,16.76,Normal
11,L,139.3,35.2,18.11,Gemuk
9,P,128.2,30.9,18.84,Gemuk
6,P,118.0,20.3,14.54,Normal
7,L,120.1,20.4,14.14,Normal
10,L,130.8,32.7,19.1,Gemuk
10,L,136.4,34.3,18.44,Gemuk
10,L,132.6,35.6,20.22,Gemuk
6,P,113.9,17.0,13.09,Kurus
8,P,123.6,20.0,13.09,Kurus
10,L,135.5,31.5,17.18,Normal
8,P,124.3,22.9,14.84,Normal
11,L,141.8,31.2,15.53,Normal
11,P,141.0,34.0,17.09,Normal
6,P,113.3,20.0,15.55,Normal
6,P,117.5,22.0,15.94,Normal
6,L,114.9,22.0,16.68,Normal
8,P,123.2,24.3,16.01,Normal
11,L,141.1,37.2,18.68,Gemuk
12,P,140.0,36.6,18.68,Gemuk
12,P,148.2,43.1,19.61,Gemuk
7,P,114.9,18.0,13.63,Kurus
9,P,125.4,28.9,18.39,Gemuk
11,L,139.7,34.8,17.81,Normal
6,P,114.5,17.9,13.61,Kurus
12,L,144.3,45.1,21.67,Gemuk
12,L,146.3,34.3,16.03,Normal
11,L,138.3,32.7,17.12,Normal
11,L,141.1,29.0,14.56,Normal
12,L,148.4,36.9,16.74,Normal
10,L,128.0,33.2,20.27,Gemuk
6,L,114.6,17.7,13.44,Kurus
6,L,113.6,17.6,13.63,Kurus
6,L,112.6,17.0,13.41,Kurus
12,P,142.8,46.2,22.65,Obesitas
10,L,132.3,31.0,17.72,Normal
7,P,119.3,19.5,13.7,Kurus
6,P,115.4,19.8,14.88,Normal
8,P,122.8,27.2,18.05,Gemuk
6,P,114.1,17.1,13.13,Kurus
10,L,128.7,29.5,17.8,Normal
8,L,125.7,25.6,16.23,Normal
10,L,131.5,33.0,19.06,Gemuk
7,P,118.1,19.4,13.94,Kurus
6,P,112.4,18.8,14.86,Normal
12,P,144.2,38.6,18.54,Gemuk
10,L,134.6,34.2,18.86,Gemuk
12,L,144.1,40.8,19.62,Gemuk
8,L,124.3,27.6,17.89,Normal
10,P,136.0,38.0,20.53,Gemuk
7,P,116.9,25.0,18.28,Gemuk
11,L,141.6,35.6,17.75,Normal
6,L,113.9,22.0,16.95,Normal
7,P,117.3,21.6,15.7,Normal
10,L,137.7,32.0,16.86,Normal
8,L,120.5,24.9,17.17,Normal
6,P,115.0,17.0,12.86,Kurus
9,L,125.7,25.2,15.99,Normal
10,L,135.6,36.0,19.55,Gemuk
8,P,123.0,26.0,17.15,Normal
12,P,144.7,35.8,17.08,Normal
11,P,139.0,34.8,18.01,Gemuk
10,L,135.6,36.1,19.64,Gemuk
11,L,141.3,34.0,17.04,Normal
7,L,113.0,23.5,18.42,Gemuk
12,L,144.7,42.5,20.31,Gemuk
11,P,139.8,32.2,16.5,Normal
12,L,145.6,36.1,17.01,Normal
9,L,123.0,28.1,18.57,Gemuk
6,P,115.3,22.0,16.55,Normal
11,P,141.4,32.8,16.4,Normal
9,P,130.0,28.1,16.63,Normal
8,P,122.7,20.3,13.52,Kurus
8,P,125.4,28.1,17.85,Normal
10,P,135.4,29.6,16.17,Normal
6,L,117.0,20.7,15.11,Normal
7,L,118.6,18.6,13.23,Kurus
7,P,119.4,18.0,12.62,Kurus
9,L,131.5,30.0,17.35,Normal
7,L,117.1,23.0,16.75,Normal
6,L,117.6,20.9,15.12,Normal
9,L,129.6,27.5,16.39,Normal
7,P,120.6,18.7,12.84,Kurus
6,P,113.8,20.6,15.88,Normal
9,P,127.9,28.9,17.7,Normal
6,P,112.8,18.0,14.14,Normal
9,L,128.7,30.7,18.52,Gemuk
10,L,130.4,33.3,19.6,Gemuk
11,P,140.6,30.2,15.26,Normal
10,L,132.2,28.1,16.07,Normal
12,L,146.5,44.9,20.94,Gemuk
8,L,118.8,22.9,16.24,Normal
12,L,151.4,42.5,18.56,Gemuk
9,P,127.6,28.0,17.19,Normal
10,P,135.2,38.0,20.8,Gemuk
10,P,135.5,31.3,17.06,Normal
10,L,134.8,27.9,15.37,Normal
10,P,134.5,30.5,16.86,Normal
12,P,145.5,38.2,18.05,Gemuk
8,L,125.2,20.0,12.76,Kurus
7,L,119.1,22.1,15.54,Normal
6,P,116.7,19.2,14.07,Normal
7,P,121.0,20.3,13.85,Kurus
12,P,145.8,38.4,18.07,Gemuk
8,L,120.5,28.1,19.32,Gemuk
6,L,116.1,22.0,16.33,Normal
12,L,147.1,34.0,15.71,Normal
8,P,124.7,24.8,15.92,Normal
7,L,118.3,25.0,17.87,Normal
7,L,114.5,18.0,13.74,Kurus
9,P,128.2,34.0,20.68,Gemuk
12,P,143.9,40.8,19.67,Gemuk
12,P,145.3,38.1,18.06,Gemuk
7,L,116.5,25.0,18.41,Gemuk
9,L,129.4,22.6,13.49,Kurus
12,L,140.0,41.1,20.95,Gemuk
10,P,132.8,34.1,19.34,Gemuk
7,P,119.9,22.8,15.89,Normal
8,P,122.7,26.4,17.56,Normal
11,L,139.6,28.0,14.38,Normal
9,L,128.2,29.8,18.12,Gemuk
9,P,123.6,34.0,22.26,Obesitas
7,L,119.3,19.2,13.45,Kurus
7,L,120.2,22.3,15.47,Normal
6,P,116.6,22.0,16.19,Normal
8,P,126.2,21.9,13.78,Kurus
12,L,145.3,37.9,17.94,Normal
9,P,128.7,25.4,15.31,Normal
7,L,117.5,18.7,13.52,Kurus
11,P,144.1,36.5,17.58,Normal
6,L,116.0,20.6,15.28,Normal
8,L,124.6,27.0,17.38,Normal
6,P,117.4,17.0,12.33,Kurus
12,L,144.9,45.8,21.82,Gemuk
6,L,110.0,19.3,15.96,Normal
10,P,137.6,33.7,17.78,Normal
12,P,143.4,40.8,19.83,Gemuk
11,P,142.4,36.7,18.11,Gemuk
7,L,116.3,19.4,14.32,Normal
10,P,130.8,33.6,19.63,Gemuk
12,L,143.4,39.2,19.09,Gemuk
8,P,122.2,25.7,17.2,Normal
10,L,137.1,32.4,17.23,Normal
8,L,120.9,28.9,19.79,Gemuk
9,L,128.6,25.2,15.22,Normal
12,L,142.8,37.8,18.55,Gemuk
11,L,140.2,33.3,16.96,Normal
6,L,113.9,17.0,13.1,Kurus
11,L,144.7,32.4,15.48,Normal
7,L,115.7,20.1,14.99,Normal
9,P,127.5,27.1,16.68,Normal
10,P,133.8,32.7,18.28,Gemuk
8,L,121.7,22.0,14.87,Normal
6,L,114.8,21.5,16.36,Normal
10,L,133.3,30.4,17.07,Normal
9,L,126.2,32.3,20.25,Gemuk
7,P,114.3,19.7,15.06,Normal
10,L,132.1,30.7,17.6,Normal
6,P,115.3,22.0,16.54,Normal
8,P,121.9,22.6,15.18,Normal
8,P,124.5,22.1,14.24,Normal
11,P,140.6,36.6,18.52,Gemuk
11,P,139.9,31.2,15.92,Normal
12,L,146.4,34.8,16.21,Normal
8,P,123.2,29.0,19.12,Gemuk
6,P,115.8,18.8,14.03,Normal
10,P,135.4,31.8,17.36,Normal
6,L,112.0,17.0,13.55,Kurus
6,L,111.9,21.0,16.79,Normal
7,P,114.3,21.0,16.05,Normal
7,P,120.4,18.0,12.41,Kurus
6,L,115.7,22.0,16.44,Normal
8,L,121.1,23.6,16.08,Normal
6,P,112.9,18.1,14.18,Normal
7,L,118.3,25.0,17.86,Normal
10,P,135.4,31.2,17.0,Normal
7,L,117.3,23.8,17.26,Normal
11,P,137.3,32.2,17.09,Normal
8,P,123.6,29.0,18.98,Gemuk
7,L,123.0,24.0,15.88,Normal
7,L,120.6,22.6,15.51,Normal
8,L,124.1,27.2,17.67,Normal
9,P,127.8,25.6,15.68,Normal
7,L,120.9,23.8,16.29,Normal
6,L,112.3,17.0,13.49,Kurus
7,L,118.7,24.7,17.54,Normal
11,L,136.5,35.7,19.15,Gemuk
11,P,141.9,38.1,18.95,Gemuk
11,P,142.4,32.1,15.84,Normal
10,P,132.3,32.7,18.7,Gemuk
6,P,113.7,22.0,17.02,Normal
11,L,141.3,35.6,17.83,Normal
7,L,117.2,21.5,15.65,Normal
12,P,147.2,44.8,20.68,Gemuk
7,L,117.1,21.2,15.46,Normal
6,P,115.2,22.0,16.58,Normal
12,P,145.9,40.5,19.02,Gemuk
10,L,132.0,28.6,16.4,Normal
11,L,140.2,34.9,17.76,Normal
12,P,144.2,38.7,18.62,Gemuk
6,P,116.2,17.0,12.59,Kurus
11,P,141.9,32.3,16.01,Normal
8,L,126.4,23.9,14.92,Normal
12,L,142.6,39.5,19.45,Gemuk
10,L,131.6,31.8,18.35,Gemuk
12,L,142.9,37.8,18.53,Gemuk
8,P,119.5,25.2,17.65,Normal
10,L,138.6,34.4,17.92,Normal
7,L,120.2,19.0,13.14,Kurus
11,L,140.4,36.5,18.5,Gemuk
9,P,128.1,25.9,15.81,Normal
11,P,142.3,35.8,17.65,Normal
8,L,121.5,22.3,15.13,Normal
9,P,126.2,33.2,20.83,Gemuk
12,P,146.7,39.2,18.24,Gemuk
10,P,137.2,28.6,15.19,Normal
8,L,126.1,23.9,15.0,Normal
11,P,143.8,35.1,16.98,Normal
7,L,116.8,22.3,16.36,Normal
10,P,136.2,32.7,17.64,Normal
12,L,147.7,39.3,18.04,Gemuk
12,L,144.8,36.4,17.39,Normal
10,P,136.9,32.2,17.19,Normal
7,L,116.5,18.0,13.27,Kurus
12,P,146.7,35.0,16.24,Normal
12,P,146.3,37.2,17.36,Normal
7,L,113.7,20.6,15.93,Normal
6,P,118.0,17.0,12.21,Kurus
12,L,151.0,36.5,16.01,Normal
12,L,146.6,32.5,15.1,Normal
9,L,125.5,25.4,16.14,Normal
12,P,145.1,41.2,19.57,Gemuk
12,L,148.6,38.1,17.27,Normal
7,L,117.3,23.8,17.29,Normal
6,L,112.2,19.1,15.15,Normal
9,P,128.4,27.3,16.52,Normal
11,L,141.8,36.6,18.22,Gemuk
6,L,113.5,22.0,17.08,Normal
7,P,117.3,19.0,13.85,Kurus
6,P,115.7,21.8,16.31,Normal
12,P,144.7,39.7,18.95,Gemuk
10,L,133.9,35.6,19.88,Gemuk
11,L,139.6,40.5,20.78,Gemuk
9,L,128.3,24.7,15.01,Normal
7,P,119.6,20.6,14.43,Normal
11,L,138.5,30.9,16.12,Normal
8,L,124.2,20.0,12.96,Kurus
8,P,120.7,23.8,16.36,Normal
8,P,125.6,22.0,13.95,Kurus
9,P,126.4,29.3,18.32,Gemuk
10,L,132.1,25.4,14.55,Normal
12,P,146.1,40.7,19.05,Gemuk
10,L,133.7,30.8,17.23,Normal
7,L,119.1,23.4,16.53,Normal
6,L,117.4,22.0,15.98,Normal
7,P,118.9,18.0,12.74,Kurus
12,P,146.9,37.0,17.16,Normal
8,P,125.0,27.4,17.54,Normal
10,P,134.2,31.0,17.19,Normal
11,L,137.1,35.7,18.99,Gemuk
11,L,140.0,37.3,19.03,Gemuk
10,P,133.8,34.1,19.06,Gemuk
8,P,121.2,25.3,17.24,Normal
12,P,146.1,39.5,18.49,Gemuk
8,P,122.0,27.4,18.41,Gemuk
6,L,112.4,19.4,15.37,Normal
7,P,113.9,21.7,16.73,Normal
9,P,130.0,28.0,16.59,Normal
7,P,118.0,18.9,13.6,Kurus
7,P,115.2,25.0,18.85,Gemuk
8,L,124.4,25.5,16.47,Normal
8,P,123.7,25.1,16.4,Normal
12,P,147.4,38.1,17.56,Normal
7,L,119.1,23.6,16.66,Normal
6,L,118.0,17.7,12.69,Kurus
8,P,123.1,26.5,17.5,Normal
9,P,133.0,25.6,14.46,Normal
10,L,129.7,32.0,19.03,Gemuk
6,L,117.5,22.0,15.93,Normal
6,L,114.2,21.1,16.19,Normal
8,P,125.6,22.7,14.37,Normal
9,L,127.2,22.0,13.6,Kurus
6,P,114.0,17.0,13.09,Kurus
7,L,121.5,25.0,16.95,Normal
7,P,121.0,18.0,12.29,Kurus
11,L,141.2,33.7,16.89,Normal
11,L,137.6,37.2,19.65,Gemuk
11,P,141.0,33.6,16.91,Normal
8,L,122.5,23.8,15.87,Normal
12,P,144.3,39.1,18.78,Gemuk
8,L,121.5,24.5,16.6,Normal
7,P,116.8,22.4,16.42,Normal
7,L,119.1,20.3,14.27,Normal
9,P,131.3,27.3,15.81,Normal
6,L,111.9,17.0,13.58,Kurus
6,P,114.4,21.9,16.75,Normal
11,L,141.0,37.4,18.8,Gemuk
10,P,132.5,35.0,19.92,Gemuk
10,P,134.2,28.5,15.83,Normal
6,L,110.9,18.7,15.2,Normal
7,P,118.1,25.0,17.93,Normal
12,L,146.3,41.7,19.47,Gemuk
6,L,115.3,20.4,15.38,Normal
8,L,119.2,29.0,20.42,Gemuk
6,L,111.1,20.2,16.35,Normal
8,L,123.3,26.0,17.07,Normal
6,P,115.1,20.6,15.53,Normal
10,L,133.9,30.1,16.77,Normal
11,L,143.4,41.1,19.99,Gemuk
6,P,111.3,17.0,13.72,Kurus
9,P,133.0,25.6,14.48,Normal
8,L,120.0,24.3,16.89,Normal
9,L,130.6,29.4,17.25,Normal
12,L,148.5,35.4,16.04,Normal
9,P,128.5,22.0,13.33,Kurus
12,P,146.2,42.8,20.01,Gemuk
11,P,145.2,36.8,17.47,Normal
12,L,145.9,38.0,17.88,Normal
12,L,144.9,38.9,18.53,Gemuk
11,L,141.3,34.2,17.12,Normal
7,P,116.0,25.0,18.57,Gemuk
11,L,142.4,33.3,16.44,Normal
9,L,129.9,25.0,14.82,Normal
6,L,110.7,19.8,16.15,Normal
12,L,142.8,37.7,18.5,Gemuk
8,L,121.3,27.8,18.9,Gemuk
11,P,143.5,39.2,19.01,Gemuk
6,L,114.6,22.0,16.76,Normal
10,L,128.4,34.6,20.98,Gemuk
6,L,113.1,21.3,16.64,Normal
9,L,123.0,26.8,17.68,Normal
9,P,126.4,25.1,15.72,Normal
7,L,118.8,22.0,15.61,Normal
12,L,147.4,40.3,18.52,Gemuk
11,P,145.6,37.5,17.68,Normal
8,P,124.1,24.3,15.8,Normal
7,P,120.3,19.3,13.34,Kurus
11,P,140.5,35.8,18.12,Gemuk
9,P,130.9,29.7,17.36,Normal
10,P,133.0,32.0,18.11,Gemuk
7,P,119.3,18.0,12.64,Kurus
10,P,138.8,26.9,13.97,Kurus
7,P,113.0,19.7,15.41,Normal
7,P,118.4,22.2,15.88,Normal
9,P,127.8,24.9,15.22,Normal
12,L,143.8,38.8,18.79,Gemuk
6,L,116.7,22.0,16.16,Normal
8,L,125.5,23.5,14.95,Normal
9,P,127.4,22.3,13.73,Kurus
7,L,116.8,25.0,18.34,Gemuk
11,P,139.1,32.7,16.92,Normal
7,L,116.9,19.7,14.4,Normal
11,L,136.0,32.6,17.66,Normal
6,P,114.4,20.2,15.42,Normal
10,L,134.8,35.5,19.54,Gemuk
8,P,119.9,27.5,19.1,Gemuk
6,L,117.3,18.4,13.36,Kurus
11,L,141.8,40.8,20.32,Gemuk
11,L,138.6,38.0,19.77,Gemuk
10,P,130.9,31.4,18.31,Gemuk
6,P,114.6,22.0,16.74,Normal
6,P,113.1,21.5,16.8,Normal
10,L,137.1,32.4,17.27,Normal
8,L,122.1,20.0,13.42,Kurus
11,P,138.9,35.6,18.48,Gemuk
12,P,147.4,38.6,17.78,Normal
10,P,137.6,36.9,19.5,Gemuk
11,P,141.5,31.6,15.81,Normal
6,P,114.7,17.8,13.55,Kurus
8,P,127.3,20.0,12.34,Kurus
10,P,135.7,30.4,16.51,Normal
8,P,120.6,22.0,15.09,Normal
7,P,118.6,25.0,17.78,Normal
8,P,123.7,20.0,13.07,Kurus
11,L,142.3,36.6,18.05,Gemuk
6,P,112.6,20.6,16.25,Normal
10,P,138.2,31.6,16.54,Normal
11,P,142.6,35.1,17.25,Normal
6,P,113.0,22.0,17.23,Normal
8,L,120.8,25.9,17.77,Normal
8,L,124.3,25.9,16.75,Normal
9,L,128.5,24.8,15.04,Normal
12,P,145.1,44.9,21.35,Gemuk
11,P,139.4,33.7,17.32,Normal
12,L,145.2,41.4,19.66,Gemuk
8,P,125.1,23.3,14.88,Normal
11,P,137.3,38.9,20.63,Gemuk
11,P,146.8,34.3,15.89,Normal
7,P,120.0,25.0,17.37,Normal
8,P,118.0,23.2,16.66,Normal
12,L,144.9,41.2,19.65,Gemuk
8,P,123.4,20.0,13.14,Kurus
10,L,134.4,29.6,16.35,Normal
9,P,126.8,27.5,17.13,Normal
10,P,134.5,34.9,19.32,Gemuk
7,L,115.1,21.0,15.86,Normal
8,P,122.6,21.9,14.55,Normal
12,P,144.8,37.9,18.08,Gemuk
12,L,146.0,39.2,18.38,Gemuk
7,L,117.5,24.2,17.57,Normal
6,P,113.8,19.4,14.98,Normal
11,L,139.5,33.8,17.38,Normal
12,L,150.2,35.1,15.54,Normal
7,L,115.1,18.7,14.14,Normal
11,P,142.6,33.0,16.22,Normal
8,P,120.3,22.5,15.54,Normal
11,L,137.8,37.1,19.54,Gemuk
11,P,141.0,34.8,17.47,Normal
10,L,130.0,32.2,19.07,Gemuk
10,L,135.8,35.5,19.22,Gemuk
11,L,144.1,35.6,17.14,Normal
11,P,139.0,32.7,16.94,Normal
10,L,134.4,27.4,15.17,Normal
11,P,138.3,39.6,20.7,Gemuk
9,P,126.9,24.6,15.24,Normal
8,P,126.5,24.1,15.03,Normal
6,L,116.9,22.0,16.1,Normal
10,P,134.2,29.9,16.58,Normal
7,L,115.3,21.3,16.06,Normal
12,P,141.2,35.7,17.92,Normal
7,L,114.5,19.2,14.62,Normal
10,L,131.8,38.0,21.89,Gemuk
9,P,125.7,30.0,19.0,Gemuk
12,L,150.2,39.1,17.34,Normal
9,L,127.2,32.3,20.0,Gemuk
12,P,148.2,36.4,16.58,Normal
10,P,135.3,31.5,17.22,Normal
6,P,115.6,22.0,16.47,Normal
8,P,119.6,27.2,19.04,Gemuk
6,P,115.9,17.5,13.04,Kurus
8,P,123.6,21.7,14.23,Normal
8,P,123.6,22.7,14.89,Normal
6,P,118.0,18.6,13.33,Kurus
9,P,123.0,26.1,17.26,Normal
6,P,112.2,17.6,14.0,Kurus
10,L,130.6,30.2,17.71,Normal
9,P,127.6,22.0,13.51,Kurus
12,P,152.0,35.3,15.28,Normal
10,P,132.6,34.4,19.58,Gemuk
7,P,118.2,22.7,16.26,Normal
12,L,149.8,38.0,16.93,Normal
10,L,135.1,30.0,16.45,Normal
10,L,136.7,32.2,17.2,Normal
11,L,142.8,38.8,19.02,Gemuk
11,P,142.1,34.6,17.15,Normal
6,P,114.4,20.7,15.79,Normal
10,P,137.1,28.6,15.21,Normal
8,L,123.5,22.6,14.85,Normal
11,P,142.3,35.2,17.37,Normal
6,L,115.9,21.0,15.61,Normal
11,L,138.6,35.7,18.62,Gemuk
7,L,114.0,22.8,17.55,Normal
7,P,116.3,21.0,15.55,Normal
10,P,135.9,34.5,18.7,Gemuk
10,P,134.9,32.0,17.56,Normal
10,L,131.6,27.7,16.02,Normal
6,P,113.1,17.0,13.29,Kurus
12,P,146.9,39.0,18.08,Gemuk
8,P,123.0,25.2,16.63,Normal
8,P,122.1,29.0,19.41,Gemuk
12,P,142.8,37.6,18.45,Gemuk
8,P,118.8,25.1,17.78,Normal
10,P,135.6,29.3,15.93,Normal
7,L,116.4,25.0,18.44,Gemuk
12,L,145.2,36.5,17.32,Normal
8,L,124.0,29.0,18.87,Gemuk
7,P,119.1,23.5,16.56,Normal
9,L,128.7,29.3,17.71,Normal
7,P,117.7,25.0,18.05,Gemuk
11,L,144.1,39.8,19.16,Gemuk
9,L,127.7,30.9,18.95,Gemuk
10,P,136.1,32.2,17.39,Normal
6,L,112.1,19.2,15.25,Normal
12,L,148.4,41.5,18.83,Gemuk
7,P,113.0,19.9,15.58,Normal
10,L,135.7,31.5,17.09,Normal
9,P,130.2,25.9,15.28,Normal
12,P,146.1,40.2,18.84,Gemuk
10,P,132.5,28.4,16.15,Normal
10,P,132.7,32.7,18.59,Gemuk
12,P,147.1,41.0,18.96,Gemuk
10,L,134.9,29.2,16.06,Normal
12,P,146.3,37.4,17.48,Normal
11,P,142.7,40.7,19.99,Gemuk
10,L,130.9,27.1,15.81,Normal
12,P,143.7,36.3,17.59,Normal
11,P,138.1,35.5,18.63,Gemuk
11,L,144.9,35.8,17.04,Normal
7,P,119.3,21.5,15.06,Normal
8,P,119.4,20.5,14.37,Normal
7,L,114.5,22.4,17.09,Normal
12,L,147.0,40.2,18.62,Gemuk
6,P,118.0,17.0,12.21,Kurus
7,L,118.6,18.4,13.06,Kurus
6,P,113.9,20.4,15.7,Normal
8,P,123.8,23.3,15.21,Normal
7,L,116.7,23.5,17.24,Normal
9,P,127.0,30.8,19.08,Gemuk
12,P,146.6,33.2,15.45,Normal
12,L,142.6,40.1,19.71,Gemuk
11,L,144.9,35.4,16.87,Normal
8,L,121.6,22.6,15.26,Normal
8,P,123.3,23.4,15.38,Normal
9,L,127.9,28.0,17.09,Normal
7,L,118.5,24.7,17.58,Normal
6,P,117.1,22.0,16.03,Normal
10,L,134.6,32.8,18.1,Gemuk
11,P,135.6,32.4,17.62,Normal
9,P,126.1,29.4,18.5,Gemuk
9,L,130.2,25.8,15.21,Normal
9,L,125.5,22.4,14.22,Normal
12,P,144.9,36.7,17.46,Normal
11,L,146.1,30.4,14.24,Normal
10,P,130.8,32.3,18.9,Gemuk
6,P,116.6,22.0,16.19,Normal
11,P,145.0,33.7,16.03,Normal
10,L,133.7,28.0,15.65,Normal
7,L,119.5,22.3,15.6,Normal
8,L,126.8,29.0,18.04,Gemuk
7,L,118.5,23.0,16.37,Normal
6,P,118.0,21.5,15.46,Normal
11,P,143.8,36.4,17.63,Normal
7,P,117.3,24.6,17.91,Normal
8,L,122.9,25.0,16.54,Normal
12,P,144.3,40.4,19.38,Gemuk
6,P,118.0,21.2,15.24,Normal
10,L,133.4,33.8,18.96,Gemuk
9,P,129.6,24.5,14.56,Normal
8,P,121.3,25.5,17.32,Normal
6,P,112.6,18.5,14.57,Normal
9,P,130.4,23.3,13.72,Kurus
9,P,129.1,23.9,14.34,Normal
12,P,144.4,41.4,19.85,Gemuk
6,P,110.8,18.5,15.1,Normal
8,P,126.4,23.9,14.97,Normal
11,P,142.4,39.5,19.48,Gemuk
11,P,139.6,38.6,19.79,Gemuk
